Statistical profiling result from v8.log, (4752 ticks, 15 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *parseTokenNode /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29399:32
      1    0.0%    0.0%  LazyCompile: *parsePropertyOrMethodSignature /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:30674:48
      1    0.0%    0.0%  LazyCompile: *parsePrefixUnaryExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31775:44
      1    0.0%    0.0%  LazyCompile: *parseParameterWorker /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:30520:38
      1    0.0%    0.0%  LazyCompile: *parseOptionalJsdoc /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:35168:40
      1    0.0%    0.0%  LazyCompile: *parseModifiers /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33597:32
      1    0.0%    0.0%  LazyCompile: *parseMethodDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33423:40
      1    0.0%    0.0%  LazyCompile: *parseListElement /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29827:34
      1    0.0%    0.0%  LazyCompile: *parseInterfaceDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33791:43
      1    0.0%    0.0%  LazyCompile: *parseIdentifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29518:33
      1    0.0%    0.0%  LazyCompile: *parseFunctionDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33369:42
      1    0.0%    0.0%  LazyCompile: *parseFunctionBlock /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:32687:36
      1    0.0%    0.0%  LazyCompile: *parseDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33156:34
      1    0.0%    0.0%  LazyCompile: *parseConditionalExpressionRest /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31701:48
      1    0.0%    0.0%  LazyCompile: *parseClassElement /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33637:35
      1    0.0%    0.0%  LazyCompile: *parenthesizeConstituentTypesOfUnionType /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:19789:50
      1    0.0%    0.0%  LazyCompile: *operator /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27595:26
      1    0.0%    0.0%  LazyCompile: *onEnter /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:42495:23
      1    0.0%    0.0%  LazyCompile: *nextTokenCanFollowModifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29573:44
      1    0.0%    0.0%  LazyCompile: *makeBinaryExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31769:38
